Participant,Scenario,Model,Log-Likelihood,AIC,BIC,Beta
4,indecisiveness,ARUM,-2.3238210087836966e-06,100.00000464764202,115.1292592973443,"[6.5706, 4.5447, -11.0229, 2.2466, -5.6357, -1.4909, -3.1989, 1.081, -0.2318, 12.7902, -18.4127, -30.9697, 23.5245, 0.8222, -0.6401, -9.5194, 10.8951, 9.3672, -6.7158, -0.3609, 7.506, -7.4499, 0.0007, 9.4953, -0.4885, 0.7692, 0.2796, 1.6314, -0.3996, -3.2607, -1.984, 9.2019, 7.7172, -5.5326, -6.3655, -13.8502, -12.1916, 23.1428, -8.6714, 4.2719, 5.1458, -0.4712, -3.3969, -7.321, -7.9531, -4.9145, -5.6448, 11.88, 10.6823, -4.4896]"
4,indecisiveness,APUM,1.7021954149533714e-05,99.9999659560917,115.12922060579399,"[1.8756, 1.2724, -2.0579, 1.2136, -1.5153, -0.3723, -0.74, 1.7752, -1.4126, 0.84, -1.0128, -6.4127, 5.2043, -1.9002, -1.1343, 0.3659, 2.4914, 3.5786, -1.045, 0.1947, 0.5709, -0.4182, -1.8851, 1.4547, -0.8492, 1.8237, 0.1052, 1.1273, -0.5883, -0.2863, -1.3929, 1.9914, 0.5033, 1.043, -0.7187, -1.9018, -0.4501, 0.9206, -0.8581, 1.1815, 0.6786, -0.8451, -0.9115, -0.5719, 0.4389, 0.7025, -0.8298, 1.3285, 0.8906, -1.3326]"
4,experimentation,Luce,-8.182752521327531,20.365505042655062,20.970675228643152,"[0.7229, 0.4943]"
4,experimentation,RUM,-130.822276910575,265.64455382115,266.24972400713807,"[-1.0644, -0.7747]"
4,experimentation,ARUM,-8.18275252126462,20.36550504252924,20.97067522851733,"[0.7229, 0.4943]"
4,experimentation,APUM,-7.341034094384009,18.682068188768017,19.287238374756107,"[0.6557, 0.4449]"
5,indifference,Luce,-0.0032084112111947917,4.0064168224223895,4.611587008410481,"[1365.2949, 3381.0701]"
5,indifference,RUM,-3.471658441849395e-05,4.000069433168837,4.6052396191569285,"[28.7512, 58.002]"
5,indifference,ARUM,-0.003329514228466473,4.006659028456933,4.611829214445025,"[1366.2207, 3357.7424]"
5,indifference,APUM,-0.0046286020177179876,4.009257204035436,4.614427390023528,"[1086.3995, 2682.9843]"
5,indecisiveness,Luce,-2.1944614192012523e-06,100.00000438892283,115.12925903862512,"[1.7517, 1.2711, -2.3681, 2.7116, -3.7186, -1.3684, -2.4738, 1.0957, -2.6979, -1.8448, 4.1414, -0.9729, 0.3585, 1.2008, 2.0164, -2.5431, -0.4062, -1.7012, 1.0793, -1.6444, 0.5078, 1.3997, 0.0057, -0.5632, -2.0068, 0.8807, -0.4229, 1.8229, -1.6736, -0.5154, -0.8607, 1.6858, 1.5699, -0.6982, -0.0926, 2.1799, 3.5261, -2.4578, -1.1977, 2.0217, 0.7575, -0.7797, -0.1971, 1.0354, 1.4436, 0.4581, -0.4067, -1.1538, -1.3175, 0.3368]"
5,indecisiveness,RUM,-110.52408442371421,321.0481688474284,336.1774234971307,"[0.1429, -1.8225, -0.3611, 0.5403, 0.4237, 1.4111, 0.8374, 0.4083, 0.0287, -0.4565, 0.5033, 0.3235, -0.3743, -0.8671, -0.0531, 1.156, 0.1102, 0.0284, 0.4232, 0.4813, 0.2489, -0.0421, -0.5082, 1.0049, -0.427, 1.5723, 0.1544, 0.0527, 0.76, -0.6532, 0.5739, 0.1153, 0.4109, -0.6836, -0.693, -1.8325, -0.4573, -0.5097, -0.6674, -0.1155, 0.0643, 0.4997, 0.5658, 0.6505, 0.6923, 0.2753, 0.0552, 0.9291, 0.6933, -1.482]"
